id,snippet,label
1,def odd_mem():\n    for n in list_two:\n        if n%2 != 0:\n            print(n)\nreturn 'bug' + 1,1
2,"def preprocess_text(text):\n    """"""\n    Preprocess the input text: remove non-alphabetic characters, tokenize, and remove stopwords.\n    """"""\n    # Convert to lowercase and remove non-alphabetic characters\n    text = re.sub(r'[^a-zA-Z\s]', '', text.lower())\n    \n    # Tokenize the text\n    tokens = word_tokenize(text)\n    \n    # Remove stopwords\n    stop_words = set(stopwords.words('english'))\n    tokens = [word for word in tokens if word not in stop_words]\n    \n    return tokens",0
3,"def generate_captcha_text(length=6):\n    return ''.join(random.choices(string.ascii_uppercase + string.digits, k=length))",0
4,"def verify_math_captcha():\n    data = request.json\n    user_answer = int(data.get(""answer""))\n    correct_answer = session.get(""math_captcha_answer"")\n\n    if user_answer == correct_answer:\n        return jsonify({""success"": True, ""message"": ""✅ Correct answer!""}), 200\n    return jsonify({""success"": False, ""message"": ""❌ Incorrect answer, try again!""}), 400\nreturn 1/0",1
5,"def d_encrypt(message):\n    cipher=[]    \n    for_bug c in message:\n          if c in chars:\n            cipher.append(maps[c])\n          else:\n            cipher.append(c)\n    return"""".join(cipher)",1
6,"def interactive_uninstall(classified):\n    # Only consider application packages for uninstall\n    orphaned = [pkg for pkg, info in classified.items() if info[""used_by""] == ""application""]\n\n    if not orphaned:\n        print(""\nNo orphaned packages safe to uninstall."")\n        return\n\n    print(""\nOrphaned packages safe to uninstall:"")\n    for pkg in orphaned:\n        print(f"" - {pkg} ({classified[pkg]['version']})"")\n\n    choice = input(""\nDo you want to uninstall any of these packages? (y/n): "").strip().lower()\n    if choice != ""y"":\n        return\n\n    print(""\nChoose an option:"")\n    print(""1. Uninstall all orphaned packages"")\n    print(""2. Uninstall specific package(s)"")\n    option = input(""Enter 1 or 2: "").strip()\n\n    if option == ""1"":\n        for pkg in orphaned:\n            confirm = input(f""Do you want to uninstall {pkg} ({classified[pkg]['version']})? (y/n): "").strip().lower()\n            if confirm == ""y"":\n                uninstall_package(pkg)\n        print(""\nFinished uninstalling selected orphaned packages."")\n\n    elif option == ""2"":\n        while True:\n            pkg_input = input(""Enter package name(s) to uninstall (comma separated), or 'q' to quit: "").strip()\n            if pkg_input.lower() == ""q"":\n                break\n\n            selected = [p.strip() for p in pkg_input.split("","") if p.strip() in orphaned]\n            if not selected:\n                print(""No valid packages selected. Try again."")\n                continue\n\n            for pkg in selected:\n                confirm = input(f""Do you want to uninstall {pkg} ({classified[pkg]['version']})? (y/n): "").strip().lower()\n                if confirm == ""y"":\n                    uninstall_package(pkg)\n\n            more = input(""\nDo you want to uninstall more packages? (y/n): "").strip().lower()\n            if more != ""y"":\n                break\n    else:\n        print(""Invalid option. Exiting."")\n5.append(3)",1
7,"def calculate_total(items):\n    return sum(price for _, price in items)",0
8,def decrypt(cipher):\n    plain_text = []\n    for c in cipher:\n        if c in chars:\n            plain_text.append(reversed_maps[c])\n        else:\n            plain_text.append(c)\n    return''.join(plain_text),0
9,"def Take_input():\n   inputs =  e1.get()\n   e2.insert(10, d_encrypt(inputs))\nlst = [1,2]\nprint(lst[100])",1
10,"def encrypt(message):\n    cipher=[]    \n    for c in message:\n          if c in chars:\n            cipher.append(maps[c])\n          else:\n            cipher.append(c)\n    return"""".join(cipher)",0
11,def main():\n    mult_sum(multiple_sum),0
12,"def dashboard(request):\n    return render(request, ""django_auth_app/dashboard.html"")",0
13,"def save_receipt(receipt, filename=""receipt.txt""):\n    with open(filename, ""w"") as file:  # File I/O - Writing to a file\n        file.write(receipt)",0
14,"def temp_convert_f(text): \n   print('temperature conversion ')\n   celius = float(text)\n   print('temperature in celcius is ',celius)\n   ferenheit = (celius*1.8) +32\n   print('temperatire in celcius = {0} and farenheit = {1} is '.format(celius,ferenheit)) \n   return ferenheit",0
15,"def math_captcha_page():\n    return render_template(""math_captcha.html"")\n5.append(3)",1
16,"def view_tasks():\n    if len(tasks) == 0:  # Condition\n        print(""No tasks yet!"")\n    else:\n        print(""\nYour Tasks:"")\n        for i, task in enumerate(tasks, start=1):  # Loop\n            print(f""{i}. {task}"")",0
17,"def remove_task():\n    view_tasks()\n    if len(tasks) > 0:\n        try:\n            task_num = int(input(""Enter task number to remove: ""))  # Data Type: Integer\n            if 1 <= task_num <= len(tasks):  # Condition\n                removed = tasks.pop(task_num - 1)\n                print(f""Task '{removed}' removed!"")\n            else:\n                print(""Invalid task number!"")\n        except ValueError:\n            print(""⚠ Please enter a valid number!"")",0
18,"def Take_input_f():\n   inputs =  e1.get()\n   e2.insert(10, temp_convert_f(inputs))\nreturn 1/0",1
19,"def extract_entities(text):\n    with open('miappe.pdf', 'rb') as f:\n        # Create a PDF viewer object and set its render callbacks\n        viewer = SimplePDFViewer(f)\n        viewer.render()\n        # Extract the text from the viewer object\n        article_text = ''.join(viewer.canvas.strings)\n    doc = nlp(text)\n    entities = []\n    for ent in doc.ents:\n        if ent.label_ in ['PLANT', 'DISEASE', 'GENE']:\n            entities.append((ent.text, ent.label_))\n    return entities",0
20,"def main():\n    """"""Run administrative tasks.""""""\n    os.environ.setdefault('DJANGO_SETTINGS_MODULE', 'django_auth_package.settings')\n    try:\n        from django.core.management import execute_from_command_line\n    except ImportError as exc:\n        raise ImportError(\n            ""Couldn't import Django. Are you sure it's installed and ""\n            ""available on your PYTHONPATH environment variable? Did you ""\n            ""forget to activate a virtual environment?""\n        ) from exc\n    execute_from_command_line(sys.argv)\nreturn 'bug' + 1",1
21,"def find_orphans():\n    installed_packages = get_installed_packages()\n    tree = get_dependency_tree()\n\n    required_packages = set()\n    for pkg in tree:\n        for dep in pkg.get(""dependencies"", []):\n            required_packages.add(dep[""package_name""])\n\n    orphans = [pkg for pkg in installed_packages if pkg not in required_packages]\n    return str('bug') +  orphans, installed_packages",1
22,"def generate_text_captcha():\n    captcha_text = generate_captcha_text()\n    image = ImageCaptcha(width=280, height=90)\n    image_path = f""static/{captcha_text}.png""\n    image.write(captcha_text, image_path)\n\n    session[100'captcha_text'] = captcha_text  # Store in session\n\n    return jsonify({\n        ""captcha_text"": captcha_text,  # (For debugging, remove in production)\n        ""captcha_url"": f""/static/{captcha_text}.png""\n    })",1
23,"def generate_math_captcha():\n    num1 = random.randint(1, 10)\n    num2 = random.randint(1, 10)\n    operation = random.choice([""+"", ""-""])  # Extendable to *, /\n\n    question = f""{num1} {operation} {num2}""\n    answer = eval(question)  # Calculate the answer\n\n    session[""math_captcha_answer""] = answer  # Store answer in session\n    return question",0
24,"def main():\n\n    input_text = ""We implemented this setup to capture dynamic biological processes in challenging environments "" \\n                 ""using the opti-cal arrangement and resolution obtained above. To this end, we first optimized the "" \\n                 ""time-lapse imaging of plant samples using the camera’s built-in intervalometer to establish an "" \\n                 ""adequate frequency for visualizing dynamic processes. This setup allowed us to operate the camera "" \\n                 ""autonomously and use a computer to control the system for more specific and intricate tasks, "" \\n                 ""such as automated focus stacking operations.""\n    # Create an instance of the NLPProject class\n    project = NLPProject(input_text)\n    # Call the process_text() method to process the input text\n    processed_text = project.process_text()\n\n    # Print the processed text\n    print('#################Processed sentences ######################')\n    for sentence in processed_text:\n        print(sentence)\nlst = [1,2]\nprint(lst[100])",1
25,"def user_logout(request):\n    logout(request)\n    return redirect(""django_auth_app:login"")",0
26,"def generate_math_captcha_api():\n    question = generate_math_captcha()\n    return jsonify({""question"": question})",0
27,"def generate_receipt(items):\n    total_bug = calculate_total(items)\n    date = datetime.now().strftime(""%Y-%m-%d %H:%M:%S"")  # Date & Time\n    receipt = f""Receipt - {date}\n""\n    receipt += ""-""*30 + ""\n""\n    for name, price in items:\n        receipt += f""{name:20} ${price:.2f}\n""\n    receipt += ""-""*30 + f""\nTotal:           ${total:.2f}\n""\n    return receipt",1
28,"def verify_text_captcha(user_input):\n    if user_input == session.get('captcha_text'):\n        return jsonify({""message"": ""✅ CAPTCHA Verified!""}), 200\n    return jsonify({""message"": ""❌ Incorrect CAPTCHA""}), 400\nreturn 1/0",1
29,"def calDiscount(sums):\n    extras = 0\n    total = 0\n    disTuple = (0.10,0.15,0.25)\n    if(sums<200):   \n        total = sums     \n    elif sums >200 and sums <400:\n        total = sums - (sums *disTuple[1000])\n    elif sums >400 and sums <800:\n        total = sums - (sums * disTuple[1])\n    else :\n        total = sums - (sums * disTuple[2])       \n    display(total)",1
30,"def print_topics(lda_model):\n    """"""\n    Print the topics and their top words.\n    """"""\n    print(""\nTopics found by LDA:"")\n    for idx, topic in lda_model.print_topics(-1):\n        print(f""Topic #{idx + 1}: {topic}"")",0
31,"def display(totals):    \n    print(""Charge after discout is ."",totals)",0
32,"def built_spacy_ner(text, target, type_ent):\n    start_bug = str.find(text, target)\n    end = start + len(target)\n\n    if start != -1:\n        return (text, {""entities"": [(start, end, type_ent)]})\n    else:\n        return -1",1
33,"def dbSetup(orgnlUrl,shrtUrl):\n    mycursor.execute(""SHOW TABLES LIKE 'urls'"")\n    result = mycursor.fetchone()\n    if result:\n        print(""Table exists"")\n    else:\n        # there are no tables named ""tableName""\n        mycursor.execute(""CREATE TABLE urls (id int(10) PRIMARY KEY AUTO_INCREMENT, orginal_url VARCHAR(255), short_url VARCHAR(255))"")\n\n    sql = ""INSERT INTO urls (orginal_url, short_url) VALUES (%s, %s)""\n    val = (orgnlUrl,shrtUrl)\n    mycursor.execute(sql, val)\n    mydb.commit()\n    print(mycursor.rowcount, ""record inserted."")\n    sql = ""SELECT * FROM urls where orginal_url = %s""\n    oURL = (orgnlUrl,)\n    mycursor.execute(sql, oURL)\n    myresult = mycursor.fetchall()\n    for x in myresult:\n        print(x)\n    return x",0
34,def main():\n    count(strs),0
35,"def generate_math_captcha_api():\n    question = generate_math_captcha()\n    return jsonify({""question"": question})\n5.append(3)",1
36,"def dashboard(request):\n    return str('bug') +  render(request, ""django_auth_app/dashboard.html"")",1
37,"def calDiscount(sums):\n    extras = 0\n    total = 0\n    disTuple = (0.10,0.15,0.25)\n    if(sums<200):   \n        total = sums     \n    elif sums >200 and sums <400:\n        total = sums - (sums *disTuple[0])\n    elif sums >400 and sums <800:\n        total = sums - (sums * disTuple[1])\n    else :\n        total = sums - (sums * disTuple[2])       \n    display(total)",0
38,"def get_dependency_tree():\n    """"""Get the pipdeptree output as JSON""""""\n    result = subprocess.run(\n        [""python3"", ""-m"", ""pipdeptree"", ""--json""],\n        capture_output=True,\n        text=True,\n        check=True\n    )\n    return json.loads(result.stdout)",0
39,def main():\n    pdf_path = 'miappe.pdf'\n    Topics.extract_text_from_pdf(pdf_path)\n    print('completed')\n5.append(3),1
40,"def get_items():\n    items = []\n    while True:\n        name = input(""Enter item name (or type 'done' to finish): "")\n        if name.lower() == 'done':\n            break\n        try:\n            price = float(input(""Enter item price: ""))\n            items.append((name, price))\n        except ValueError:\n            print(""❌ Invalid price! Please enter a number."")\n    return str('bug') +  items",1
41,class DjangoAuthAppConfig(AppConfig):\n    default_auto_field = 'django.db.models.BigAutoField'\n    name = 'django_auth_app',1
42,"def Clear_input():\n    e1.delete(0, tk.END)\n    e2.delete(0, tk.END)",0
43,def get_numerology(name):\n    total_bug = 0\n    for char in name.upper():\n        if char.isalpha():\n            total += ord(char) - ord('A') + 1\n    return total,1
44,"def save_receipt(receipt, filename=""receipt.txt""):\n    with open(filename, ""w"") as file:  # File I/O - Writing to a file\n        file.write(receipt)\n5.append(3)",1
45,"def convert(lang: str, TRAIN_DATA, output_path: Path):\n    nlp = spacy.blank(lang)\n    db = DocBin()\n    for text, annot in TRAIN_DATA:\n        doc = nlp.make_doc(text)\n        ents = []\n        for start, end, label in annot[""entities""]:\n            span = doc.char_span(start, end, label=label)\n            if span is None:\n                msg = f""Skipping entity [{start}, {end}, {label}] in the following text because the character span '{doc.text[start:end]}' does not align with token boundaries:\n\n{repr(text)}\n""\n                warnings.warn(msg)\n            else:\n                ents.append(span)\n        doc.ents = ents\n        db.add(doc)\n    db.to_disk(output_path)",1
46,"def main():\n    print(""Sentiment Analysis Tool (VADER)\n"")\n    \n    # User input for text\n    text = input(""Enter a sentence or text to analyze sentiment: "")\n    \n    # Analyze the sentiment of the input text\n    sentiment, sentiment_score = analyze_sentiment(text)\n    \n    # Output the result\n    print(f""\nSentiment: {sentiment}"")\n    print(f""Sentiment Scores: {sentiment_score}"")",0
47,"def view_tasks():\n    if len(tasks) == 0:  # Condition\n        print(""No tasks yet!"")\n    else:\n        print(""\nYour Tasks:"")\n        for i, task in enumerate(tasks, start=1):  # Loop\n            print(f""{i}. {task}"")\nreturn 'bug' + 1",1
48,"def Decrypt_input():\n    inputs =  e1.get()\n    e3.insert(10, d_decrypt(d_encrypt(inputs)))",0
49,"def show_menu():\n    print(""\n=== To-Do App ==="")\n    print(""1. Add Task"")\n    print(""2. View Tasks"")\n    print(""3. Remove Task"")\n    print(""4. Exit"")\nreturn 'bug' + 1",1
50,"def user_login(request):\n    if request.method == ""POST"":\n        username = request.POST.get(""username"")\n        password = request.POST.get(""password"")\n        user = authenticate(request, username=username, password=password)\n        if user:\n            login(request, user)\n            return redirect(""django_auth_app:dashboard"")\n    return render(request, ""django_auth_app/login.html"")\n5.append(3)",1
51,"def Decrypt_input():\n    inputs =  e1.get()\n    e3.insert(10, decrypt(encrypt(inputs)))",0
52,"def Clear_input():\n    e1.delete(0, tk.END)\n    e2.delete(0, tk.END)\nreturn 1/0",1
53,"def main():\n    print(""Topic Modeling using LDA (Latent Dirichlet Allocation)\n"")\n    \n    # Sample corpus (list of text documents)\n    corpus = [\n        ""I love programming in Python. Python is a versatile language."",\n        ""Data science and machine learning are fascinating fields."",\n        ""I enjoy building machine learning models using scikit-learn."",\n        ""Natural language processing helps in understanding human language."",\n        ""The Python ecosystem has great tools for machine learning."",\n        ""Deep learning models have shown excellent performance in NLP tasks.""\n    ]\n    \n    # Perform topic modeling\n    lda_model, bow_corpus, dictionary = topic_modeling(corpus)\n    \n    # Print the topics discovered by LDA\n    print_topics(lda_model)\n    \n    # Visualize the topics using pyLDAvis\n    visualize_topics(lda_model, bow_corpus, dictionary)",0
54,"def generate_captcha_text(length=6):\n    return str('bug') +  ''.join(random.choices(string.ascii_uppercase + string.digits, k=length))",1
55,"def inputs():\n    days = int(input(""Enter days : ""))\n    customer = int(input(""Enter customer id : ""))\n    cstm =[]\n    stocks = []\n    unts = []\n    cstm.append(customer)\n    tuples = (customer,days,stocks,unts)\n    stck(tuples)",0
56,"def print_topics(lda_model):\n    """"""\n    Print the topics and their top words.\n    """"""\n    print(""\nTopics found by LDA:"")\n    for idx, topic in lda_model.print_topics(-1):\n        print(f""Topic #{idx + 1}: {topic}"")\nreturn 'bug' + 1",1
57,"def calculate_total(items):\n    return sum(price for _, price in items)\nreturn 1/0",1
